Organization name,Category,Description,Technologies,Topics,Link
Checker Framework,Programming Languages and Development Tools,"Preventing programming errors before they happen, via easy-to-use verification",java,"programmer productivity,software engineering,verification",https://summerofcode.withgoogle.com/archive/2017/organizations/6349316859887616/
Checkstyle,Programming Languages and Development Tools,Dev tool to help programmers write Java code that adheres to a coding standard.," java,antlr","static code analysisâ€Ž,code review tool,coding standards, coding conventions",https://summerofcode.withgoogle.com/archive/2017/organizations/5883569398349824/
Classical Language Toolkit,Other,NLP for the ancient world," python,javascript","nlp,ai,machine,machine learning,machine trans",https://summerofcode.withgoogle.com/archive/2017/organizations/4904328934457344/
"CLiPS, University of Antwerp",Data and Databases,Computational (Psycho)Linguistics,"python,machine learning,mongodb,javascript ","text analytics,machine learning,computational linguistics,artificial intelligence,data mining",https://summerofcode.withgoogle.com/archive/2017/organizations/4936781707345920/
Clojure,Programming Languages and Development Tools,Supporting the Clojure and ClojureScript ecosystem,"clojure,clojurescript,jvm,javascript,functional programming","programming language,development tools,compilers,functional programming,build systems",https://summerofcode.withgoogle.com/archive/2017/organizations/5054104644616192/
Cloud Native Computing Foundation (CNCF),Cloud,The CNCF is a nonprofit committed to the development of cloud native technology,"kubernetes,go,prometheus,fluentd,grpc","cloud,cloud native,monitoring,logging,tracing",https://summerofcode.withgoogle.com/archive/2017/organizations/6018829461225472/
CloudCV,Cloud,Building platforms for reproducible AI research," python,django,angularjs,reactjs, deep learning","artificial intelligence,machine learning,computer vision,web development,cloud computing",https://summerofcode.withgoogle.com/archive/2017/organizations/6419112360148992/
CMU Sphinx,Graphics / Video / Audio / Virtual Reality,"Fast, Accurate, Flexible Open Source Speech Recognition","c,cross-platform,hidden markov models,javascript , python","speech recognition,user interface,real time,education,pronunciation",https://summerofcode.withgoogle.com/archive/2017/organizations/5510422639673344/
coala,Programming Languages and Development Tools,Linting and Fixing Code for All Languages,python,code analysis,https://summerofcode.withgoogle.com/archive/2017/organizations/5817061024464896/
Computational Biology @ University of Nebraska-Lincoln,Science and Medicine,Development of software technologies for biomedical research and applications.,"javascript,react,java,webgl,mysql","computational biology,bioinformatics,network biology,systems biology,image analysis",https://summerofcode.withgoogle.com/archive/2017/organizations/6732113738989568/
Conversations.im,End User Applications,"Federated, end-to-end encrypted instant messaging based on XMPP/OMEMO","xmpp,java,android,javafx,python","instant messaging,real time,usabilty,ui,ux",https://summerofcode.withgoogle.com/archive/2017/organizations/5967780016816128/
Copyleft Games,Graphics / Video / Audio / Virtual Reality,"Game libraries, frameworks, and development toolkits","python,opengl,javascript,c,xmpp","graphics,networking,web,education",https://summerofcode.withgoogle.com/archive/2017/organizations/6180004551458816/
DBpedia,Data and Databases,"a Large, Multilingual, Semantic Knowledge Graph"," java,scala,graph,nosql,rdf","natural language processing,big data,semantic web,data science,knowledge extraction",https://summerofcode.withgoogle.com/archive/2017/organizations/5195579256733696/
Discourse,Social / Communications,Civilized discussion for your community.,"ruby on rails,ember, ruby,javascipt,html/css","asynchronous,forum,community, real time,web development",https://summerofcode.withgoogle.com/archive/2017/organizations/4878856288731136/
Django Software Foundation,Web,The web framework for perfectionists with deadlines.,"python,django","web,web development",https://summerofcode.withgoogle.com/archive/2017/organizations/4608650232463360/
Drupal,Web,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","php, symfony, sql, javascript, drupal 8","web, web development, content management, object-oriented, cms",https://summerofcode.withgoogle.com/archive/2017/organizations/6388224565968896/
Eclipse Vert.x,Programming Languages and Development Tools,Eclipse Vert.x is a tool-kit for building reactive applications on the JVM,"java,reactive extensions,kotlin,microservices,event-loop","reactive,unopionated,polyglot,distributed,high performance computing",https://summerofcode.withgoogle.com/archive/2017/organizations/5851994006749184/
Elm Software Foundation,Programming Languages and Development Tools,A delightful functional language for reliable webapps.,"elm,javascript,haskell","functional programming,compilers,web applications,programming languages,user interface",https://summerofcode.withgoogle.com/archive/2017/organizations/5658990390280192/
Environmental Data And Governance Initiative,Data and Databases,International network addressing threats to US environmental & energy policy,"python,javascript,ruby on rails,google cloud,go","crawling,api,open data,machine learning,open science",https://summerofcode.withgoogle.com/archive/2017/organizations/4941941976334336/
Fedora Project,Operating Systems,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First","python,linux,git,postgres,ansible","linux distribution,upstream,community,web development,realtime messaging",https://summerofcode.withgoogle.com/archive/2017/organizations/5870752142196736/
FFmpeg,Graphics / Video / Audio / Virtual Reality,"Cross-platform software to convert audio, video and subtitles.","c,assembly,git","multimedia,video,audio,filter,compressio",https://summerofcode.withgoogle.com/archive/2017/organizations/4641979178680320/
FOSDEM,Programming Languages and Development Tools,The organization that handles all aspects of the FOSDEM conference,"git,ruby on rails,postgresql,html/css","web,programming tools,programming languages,ruby,rails",https://summerofcode.withgoogle.com/archive/2017/organizations/5733807646834688/
FOSSASIA,Other,Improve People's Lives,"python,java,javascript,android,php","event management,machine learning,artificial intelligence,cloud",https://summerofcode.withgoogle.com/archive/2017/organizations/5936828200779776/
Free and Open Source Silicon Foundation,Other,Umbrella for various projects around open source hardware and tools,"verilog,c,vhdl,python","hardware,eda tools,web",https://summerofcode.withgoogle.com/archive/2017/organizations/5021512822161408/
FreeBSD,Operating Systems,FreeBSD: The Foundation of the Internet,"c/c++,llvm,shell,make,assembly","virtualization,kernel,cloud,embedded,security",https://summerofcode.withgoogle.com/archive/2017/organizations/5058101916991488/
Freifunk,Social / Communications,Freifunk is a non-commercial initiative for free and open wireless networks.,"lede/openwrt,c,html/css,shell script, javascript","wireless,routing,monitoring,firmware development,user interface",https://summerofcode.withgoogle.com/archive/2017/organizations/6004756195573760/
Frescobaldi,End User Applications,Edit music scores with GNU LilyPond.,"python,pyqt",music engraving,https://summerofcode.withgoogle.com/archive/2017/organizations/4597892144693248/
"Genes, Genomes and Variation",Science and Medicine,Genome databases and browsers,"mysql,perl,javascript","genomics,web",https://summerofcode.withgoogle.com/archive/2017/organizations/5455879507804160/
GENIVI Development Platform,Programming Languages and Development Tools,Open Source Automotive Development Platform,"linux,c,yocto,c++,qt","automotive,cars,embedded systems,embedded,automobile",https://summerofcode.withgoogle.com/archive/2017/organizations/4914104280023040/
Gentoo Foundation,Operating Systems,"A flexible, source-based Linux distribution.","shell,c/c++,python,linux","linux,package management,operating system,embedded,security",https://summerofcode.withgoogle.com/archive/2017/organizations/6287928489672704/
Git,Programming Languages and Development Tools,"fast, scalable, distributed revision control system","c, shell script, git","version control, dvcs",https://summerofcode.withgoogle.com/archive/2017/organizations/5061577619275776/
Global Alliance for Genomics and Health,Science and Medicine,We develop open standards and tools for genomics to benefit human health.," python, java,sql,c++,mongodb","genomics,standards,data sharing, bioinformatics,web",https://summerofcode.withgoogle.com/archive/2017/organizations/6101170829393920/
GNOME,End User Applications,Non-profit organization that creates a computing platform for the general public,"c,python,gtk+, javascript,gobject","desktop,applications,operating system",https://summerofcode.withgoogle.com/archive/2017/organizations/6040004186865664/
GNSS-SDR,Science and Medicine,An open source Global Navigation Satellite Systems software-defined receiver,"c/c++,c++,c++11,c++14,gnss","gnss,geolocation,navigation,software defined radio,communications",https://summerofcode.withgoogle.com/archive/2017/organizations/5204929132101632/
GNU Octave,Programming Languages and Development Tools,Free Your Numbers,"c++,hg","mathematics, numerical computation,matlab,scientific computing,numerical methods",https://summerofcode.withgoogle.com/archive/2017/organizations/6187477526118400/
GNU Radio,Science and Medicine,The Free & Open Software Radio Ecosystem,"software defined radio,c++,python,dsp","wireless communication,signal processing,radar,gui",https://summerofcode.withgoogle.com/archive/2017/organizations/5467278887878656/
Green Navigation,Other,Energy efficient routing for electric vehicles,"javascript,java,react,apache spark,tensorflow","routing,eletric mobility,web,machine learning",https://summerofcode.withgoogle.com/archive/2017/organizations/6147412729004032/
